D:\Users\MathAngel\anaconda3\python.exe E:\Lab\base-T5-G8\base-ce.py 
training on  cuda
epoch 128, loss 0.3906, train acc 0.853, test_id acc 0.204, test_ood acc 0.254, time 21.0 sec
epoch 129, loss 1.4650, train acc 0.455, test_id acc 0.515, test_ood acc 0.316, time 20.9 sec
epoch 130, loss 1.2446, train acc 0.547, test_id acc 0.253, test_ood acc 0.122, time 20.9 sec
epoch 131, loss 1.1486, train acc 0.585, test_id acc 0.344, test_ood acc 0.138, time 20.9 sec
epoch 132, loss 1.0516, train acc 0.619, test_id acc 0.463, test_ood acc 0.287, time 20.9 sec
epoch 133, loss 0.9624, train acc 0.657, test_id acc 0.551, test_ood acc 0.344, time 20.9 sec
epoch 134, loss 0.8861, train acc 0.688, test_id acc 0.623, test_ood acc 0.387, time 20.9 sec
epoch 135, loss 0.8295, train acc 0.704, test_id acc 0.568, test_ood acc 0.325, time 20.9 sec
epoch 136, loss 0.7699, train acc 0.731, test_id acc 0.495, test_ood acc 0.261, time 20.9 sec
epoch 137, loss 0.6997, train acc 0.757, test_id acc 0.379, test_ood acc 0.250, time 20.9 sec
epoch 138, loss 0.6425, train acc 0.776, test_id acc 0.362, test_ood acc 0.360, time 20.9 sec
epoch 139, loss 0.5997, train acc 0.794, test_id acc 0.287, test_ood acc 0.181, time 20.9 sec
epoch 140, loss 0.5085, train acc 0.830, test_id acc 0.317, test_ood acc 0.206, time 20.9 sec
epoch 141, loss 0.4757, train acc 0.838, test_id acc 0.501, test_ood acc 0.317, time 20.9 sec
epoch 142, loss 0.4542, train acc 0.847, test_id acc 0.554, test_ood acc 0.286, time 20.9 sec
epoch 143, loss 0.4296, train acc 0.856, test_id acc 0.489, test_ood acc 0.291, time 20.9 sec
epoch 144, loss 0.3721, train acc 0.877, test_id acc 0.357, test_ood acc 0.273, time 21.0 sec
epoch 145, loss 0.3184, train acc 0.898, test_id acc 0.608, test_ood acc 0.334, time 20.9 sec
epoch 146, loss 0.2674, train acc 0.916, test_id acc 0.587, test_ood acc 0.360, time 20.9 sec
epoch 147, loss 0.2032, train acc 0.939, test_id acc 0.563, test_ood acc 0.371, time 20.9 sec
